System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Source,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Training objective,Training cost (2020 USD)
Hiero,Language,Translation,"University of Maryland, College Park",Academia,David Chiang,2005,2005,A Hierarchical Phrase-Based Model for Statistical Machine Translation,https://www.aclweb.org/anthology/P05-1033.pdf,1.49E+03,Highly cited,,1.20E+08,,,,,,,,,,,
Stanley /DARPA Grand Challenge 2),Driving,Self-driving car,Stanford University,Industry - Academia Collaboration,"S Thrun, M Montemerlo, H Dahlkamp",2005,2005,Stanley: The Robot that Wonthe DARPA Grand Challenge,http://robots.stanford.edu/papers/thrun.stanley05.pdf,2.56E+03,Highly cited,,,,,,,,,,,,,
,,,University of the Balearic Islands and CMLA,Academia,"A Buades, B Coll, JM Morel",2005,2005,A non-local algorithm for image denoising,http://www.iro.umontreal.ca/~mignotte/IFT6150/Articles/Buades-NonLocal.pdf,6.87E+03,Highly cited,,,,,,,,,,,,,
,Vision,,New York University,Academia,"S Chopra, R Hadsell, Y LeCun",2005,2005,"Learning a similarity metric discriminatively, with application to face verification",http://yann.lecun.com/exdb/publis/pdf/chopra-05.pdf,3.05E+03,Highly cited,,,,,,,,,,,,,
SACHS,Other,,"MIT, Stanford, Harvard",Academia,"K. Sachs, O. Perez, D. Pe'er, D. A. Lauffenburger and G. P. Nolan",2005,2005,Causal Protein-Signaling Networks Derived from Multiparameter Single-Cell Data.,https://www.science.org/doi/10.1126/science.1105809,1.68E+03,Highly cited,,1.78E+02,,,5.40E+03,,,,,,,,
,Vision,,Inria Grenoble Rhône-Alpes,Academia,"N Dalal, B Triggs",25/06/2005,2005,Histograms of oriented gradients for human detection,https://ieeexplore.ieee.org/document/1467360,3.66E+04,Highly cited,,,,,,,,,,,,,
BiLSTM for Speech,Speech,Speech recognition,IDSIA and TU Munich,Academia,"A Graves, J Schmidhuber",01/08/2005,2005,Framewise phoneme classification with bidirectional LSTM and other neural network architectures,https://www.sciencedirect.com/science/article/abs/pii/S0893608005001206,3.39E+03,Highly cited,,1.52E+05,2.4E+13,,6.00E+00,,,,,,,,
,,,,Academia,,2006,2006,Efficient Learning of Sparse Representations with an Energy-Based Model.,,1.60E+03,Highly cited,OpenAI,,,,,,,,,,,,
,Language,,Stanford University,Academia,"Rion Snow, Dan Jurafsky, and Andrew Y. Ng",2006,2006,Semantic Taxonomy Induction from Heterogenous Evidence,https://www.aclweb.org/anthology/P06-1101/,5.71E+02,,,1.00E+02,,,8.51E+05,,,,,,,,
,,,University of Cambridge,Academia,Edward Rosten and Tom Drummond,2006,2006,Machine Learning for High-Speed Corner Detection,https://link.springer.com/chapter/10.1007/11744023_34,5.42E+03,Highly cited,,,,,,,,,,,,,
,Vision,,"University of Illinois, INRIA, Ecole Normale",Academia,"S Lazebnik, C Schmid, J Ponce",2006,2006,Beyond Bags of Features: Spatial Pyramid Matching for Recognizing Natural Scene Categories,https://inc.ucsd.edu/mplab/users/marni/Igert/Lazebnik_06.pdf,9.81E+03,Highly cited,,,,,,,,,,,,,
,,,,Academia,,02/02/2006,2006,A trainable feature extractor for handwritten digit recognition,https://hal.archives-ouvertes.fr/hal-00018426/en,3.47E+02,,,,,,,,,,,,,,
DrLIM,Vision,Image embedding,New York University,Academia,R. Hadsell; S. Chopra; Y. LeCun,17/06/2006,2006,Dimensionality Reduction by Learning an Invariant Mapping,https://ieeexplore.ieee.org/document/1640964,2.69E+03,Highly cited,,3.71E+04,,,2.17E+05,,,,,,,,
CTC-Trained LSTM,Speech,Speech recognition,"IDSIA, TUM",Academia,"Alex Graves, Santiago Fernández, Faustino Gómez, Jürgen Schmidhuber",25/06/2006,2006,Connectionist Temporal Classification: Labelling Unsegmented Sequence Data with Recurrent Neural Networks,https://www.cs.toronto.edu/~graves/icml_2006.pdf,3.29E+03,Highly cited,,1.15E+05,,,4.44E+03,,,,,,,,
DImensionality Reduction,Vision,Face recognition,University of Toronto,Academia,"GE Hinton, RR Salakhutdinov",18/07/2006,2006,Reducing the dimensionality of data with neural networks.,https://www.cs.toronto.edu/~hinton/science.pdf,1.57E+04,Highly cited,,3.80E+06,,,7.00E+04,,,,,,,,
Deep Belief Nets,Vision,Character recognition,"University of Toronto, NUS",Academia,"GE Hinton, S Osindero, YW Teh",18/07/2006,2006,A fast learning algorithm for deep belief nets,https://www.cs.toronto.edu/~hinton/absps/fastnc.pdf,1.61E+04,Highly cited,,1.60E+06,,MNIST,6.00E+04,,,,,,,,
,,,"Machine Vision group, Finland",Academia,"Timo Ahonen, Abdenour Hadid, and Matti Pietikainen",12/2006,2006,Face Description with Local Binary Patterns: Application to Face Recognition,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.456.1094&rep=rep1&type=pdf,3.11E+03,Highly cited,The Computational Limits of Deep Learning,,,,,,,,,,,,
,Vision,,"University of Bern, IDSIA, TU Munich",Academia,"M Liwicki, A Graves, S Fernàndez",2007,2007,A Novel Approach to On-Line Handwriting Recognition Based on Bidirectional Long Short-Term Memory Networks,https://people.idsia.ch//~juergen/icdar_2007.pdf,2.53E+02,,OpenAI,,,,,,,,,,,,
,,,University of Montreal,Academia,"Y Bengio, P Lamblin, D Popovici",2007,2007,Greedy layer-wise training of deep networks,https://proceedings.neurips.cc/paper/2006/file/5da713a690c067105aeb2fae32403405-Paper.pdf,5.61E+03,Highly cited,,,,,,,,,,,,,
,,,NEC Laboratories,Industry,"L Bottou, O Bousquet",2007,2007,The Tradeoffs of Large Scale Learning,https://proceedings.neurips.cc/paper/2007/file/0d3180d672e08b4c5312dcdafdf6ef36-Paper.pdf,1.70E+03,Highly cited,,,,,,,,,,,,,
Boss (DARPA Urban Challenge),Driving,Self-driving car,Carnegie Mellon University,Industry - Academia Collaboration,"Chris Urmson, Joshua Anhalt, Drew Bagnell,Christopher Baker, Robert Bittner,M. N. Clark, John Dolan, Dave Duggins,Tugrul Galatali, Chris Geyer,Michele Gittleman, Sam Harbaugh,Martial Hebert, Thomas M. Howard,Sascha Kolski, Alonzo Kelly,Maxim Likhachev, Matt McNaughton,Nick Miller, Kevin Peterson, Brian Pilnick,Raj Rajkumar, Paul Rybski, Bryan Salesky,Young-Woo Seo, Sanjiv Singh, Jarrod Snider,Anthony Stentz, William “Red” Whittaker,Ziv Wolkowicki, and Jason Ziglar",2007,2007,Autonomous Driving in UrbanEnvironments: Boss and theUrban Challenge,https://www.ri.cmu.edu/pub_files/pub4/urmson_christopher_2008_1/urmson_christopher_2008_1.pdf,1.84E+03,Highly cited,,,,,,,,,,,,,
,Recommendation,,AT&T Labs,Industry,"RM Bell, Y Koren",2007,2007,Scalable Collaborative Filtering with Jointly Derived Neighborhood Interpolation Weights,http://brettb.net/project/papers/2007%20Scalable%20collaborative%20filtering%20with%20jointly%20derived%20neighborhood%20interpolation%20weights.pdf,6.87E+02,,,,,,,,,,,,,,
BellKor 2007,Recommendation,Movie ratings,AT&T Labs,Industry,"RM Bell, Y Koren, C Volinsky",2007,2007,The BellKor solution to the Netflix Prize,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.142.9009&rep=rep1&type=pdf,2.14E+02,,,,,Netflix Prize,,,,,,,,,
,Language,,University of Edinburgh,Academia,"Philipp Koehn, Hieu Hoang, Alexandra Birch, Chris Callison-Burch",2007,2007,Moses: Open Source Toolkit for Statistical Machine Translation,https://aclanthology.org/P07-2045.pdf,6.10E+03,Highly cited,,,,,,,,,,,,,
λ-WASP,Language,,UT Austin,Academia,"YW Wong, R Mooney",2007,2007,Learning Synchronous Grammars for Semantic Parsing with Lambda Calculus,https://www.aclweb.org/anthology/P07-1121/,3.50E+02,,,4.90E+05,,,7.92E+02,,,,,,,,
,,,,Academia,,01/06/2007,2007,An empirical evaluation of deep architectures on problems with many factors of variation,https://dl.acm.org/doi/10.1145/1273496.1273556,1.12E+03,,,,,,,,,,,,,,
Restricted Bolzmann machines,,,,Academia,,20/06/2007,2007,Restricted Boltzmann machines for collaborative filtering,https://dl.acm.org/doi/abs/10.1145/1273496.1273596?casa_token=cfdkH2x12MwAAAAA:sEUzfllIGyPcOfzgUoDPHlpC1ukfCAo8ewocBXWBswIIF9eS5HdFo30nOtfmIV8gm-XpBpQJJ5zYVO8,2.14E+03,,,,,,,,,,,,,,
,Recommendation,,Warsaw University,Academia,A Paterek,12/08/2007,2007,Improving regularized singular value decomposition for collaborative filtering,https://www.cs.uic.edu/~liub/KDD-cup-2007/proceedings/Regular-Paterek.pdf,1.12E+03,Highly cited,,,,,,,,,,,,,
BLSTM,Vision,Character recognition,"University of Bern, IDSIA, TU Munich",Academia,"Alex Graves, Marcus Liwicki, Horst Bunke, Jürgen Schmidhuber, Santiago Fernández",12/2007,2007,Unconstrained online handwriting recognition with recurrent neural networks,https://proceedings.neurips.cc/paper/2007/hash/4b0250793549726d5c1ea3906726ebfe-Abstract.html,3.11E+02,,,1.01E+05,,,,,,,,,,,
Denoising Autoencoders,,,,Academia,,2008,2008,Extracting and Composing Robust Features with Denoising Autoencoders,https://www.cs.toronto.edu/~larocheh/publications/icml-2008-denoising-autoencoders.pdf,6.30E+03,,,,,,,,,,,,,,
,,,,Industry - Academia Collaboration,,2008,2008,Deep Learning via Semi-Supervised Embedding,https://ronan.collobert.com/pub/2012_deeplearning_springer.pdf,1.09E+03,,,,,,,,,,,,,,
,Vision,,"University of Chicago & Toyota Technological Institute, Chicago & University of California, Irvine",Academia,"Pedro Felzenszwalb, David McAllester, Deva Ramanan",2008,2008,"A discriminatively trained, multiscale, deformable part model",https://ieeexplore.ieee.org/abstract/document/4587597,3.09E+03,Highly cited,,,,,,,,,,,,,
,Language,,NEC Laboratories,Industry,"R Collobert, J Weston",2008,2008,A unified architecture for natural language processing: Deep neural networks with multitask learning,https://dl.acm.org/doi/10.1145/1390156.1390177,5.76E+03,Highly cited,,,,,,,,,,,,,
Stacked Semisuperviser Autoencoders,Language,,New York University and Microsoft Research Cambridge,Industry - Academia Collaboration,"MA Ranzato, M Szummer",15/07/2008,2008,Semisupervised learning of compact document representations with deep networks,https://www.cs.toronto.edu/~ranzato/publications/ranzato-icml08.pdf,2.27E+02,,,3.00E+06,,,,,,,,,,,
,Vision,,University of Lübeck,Academia,"Kai Labusch, Erhardt Barth, Thomas Martinetz",19/11/2008,2008,Simple method for high-performance digit recognition based on sparse coding,https://pubmed.ncbi.nlm.nih.gov/19000969/,1.24E+02,,,,,,,,,,,,,,
BigChaos 2008,Recommendation,Movie ratings,commendo research & consulting,Industry,"A Töscher, M Jahrer",25/11/2008,2008,The BigChaos Solution to the Netflix Prize 2008,https://www2.seas.gwu.edu/~simhaweb/champalg/cf/papers/ProgressPrize2008_BigChaos.pdf,3.50E+01,Historical relevance,,,,Netflix Prize,1.00E+08,,,,,,,,
Semantic Hashing,Other,,University of Toronto,Academia,"R Salakhutdinov, G Hinton",10/12/2008,2008,Semantic Hashing,https://www.cs.cmu.edu/~rsalakhu/papers/sdarticle.pdf,1.49E+03,Highly cited,,2.60E+06,,,,,,,,,,,
,Language,,University of Pittsburgh,Academia,"Theresa Wilson, Janyce Wiebe, Paul Hoffmann.",2009,2009,Recognizing Contextual Polarity: An Exploration of Features for Phrase-Level Sentiment Analysis,https://www.aclweb.org/anthology/J09-3003/,7.87E+02,,,,,,,,,,,,,,
,Recommendation,,AT&T Labs,Industry,"Yehuda Koren, Robert Bell, and Chris Volinsky",2009,2009,Matrix factorization techniques for recommender systems,https://datajobs.com/data-science-repo/Recommender-Systems-[Netflix].pdf,8.91E+03,Highly cited,,,,,,,,,,,,,
,3D reconstruction,,"University of Washington, Cornell, Microsoft Research",Industry - Academia Collaboration (Academia leaning),"Sameer Agarwal, Noah Snavely, Ian Simon, Steven M. Seitz and Richard Szeliski",2009,2009,Building Rome in a Day,https://grail.cs.washington.edu/rome/rome_paper.pdf,2.20E+03,Highly cited,,,,,,,,,,,,,
,,,Stanford,Academia,"H Lee, R Grosse, R Ranganath, AY Ng",2009,2009,Convolutional deep belief networks for scalable unsupervised learning of hierarchical representations,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.149.802&rep=rep1&type=pdf,2.96E+03,Highly cited,,,,,,,,,,,,,
,,,University of Montreal,Academia,Y Bengio,2009,2009,Learning deep architectures for AI,https://www.iro.umontreal.ca/~lisa/pointeurs/TR1312.pdf,9.78E+03,Highly cited,,,,,,,,,,,,,
Deep Boltzmann Machines,,,University of Toronto,Academia,"Ruslan Salakhutdinov, Geoffrey Hinton",2009,2009,Deep Boltzmann Machines,http://proceedings.mlr.press/v5/salakhutdinov09a,2.67E+03,Highly cited,,,,,,,,,,,,,
GPU DBNs,Other,,Stanford,Academia,"R Raina, A Madhavan, AY Ng",15/06/2009,2009,Large-scale Deep Unsupervised Learning using Graphics Processors,http://www.machinelearning.org/archive/icml2009/papers/218.pdf,7.89E+02,,,1.00E+08,1.0E+15,,1.00E+06,,,,,,,,
BellKor 2008,Recommendation,Movie ratings,AT&T Labs,Industry,"RM Bell, Y Koren, C Volinsky",1/8/2009,2009,The BellKor 2008 Solution to the Netflix Prize,https://www.netflixprize.com/assets/ProgressPrize2008_BellKor.pdf,1.58E+02,,,,,Netflix Prize,1.00E+08,,,,,,,,
RL mapping instructions,Reading,Instruction interpretation,MIT,Academia,"SRK Branavan, H Chen, LS Zettlemoyer, R Barzilay",08/2009,2009,Reinforcement Learning for Mapping Instructions to Actions,https://www.aclweb.org/anthology/P09-1010/,2.53E+02,,,1.33E+05,,Windows Help and Support,1.33E+03,,,,,,,,
RL mapping instructions,Reading,Instruction interpretation,MIT,Academia,"SRK Branavan, H Chen, LS Zettlemoyer, R Barzilay",08/2009,2009,Reinforcement Learning for Mapping Instructions to Actions,https://www.aclweb.org/anthology/P09-1010/,2.53E+02,,,8.09E+04,,Windows Help and Support,2.93E+02,,,,,,,,
,Recommendation,Movie ratings,AT&T Labs,Industry,Y Koren,08/2009,2009,The BellKor Solution to the Netflix Grand Prize,https://www2.seas.gwu.edu/~simhaweb/champalg/cf/papers/KorenBellKor2009.pdf,5.07E+02,,,,,Netflix Prize,1.00E+08,,,,,,,,
,Recommendation,Movie ratings,AT&T Labs,Industry,"A Töscher, M Jahrer, RM Bell",08/2009,2009,The BigChaos Solution to the Netflix Grand Prize,https://www.asc.ohio-state.edu/statistics/statgen/joul_aut2009/BigChaos.pdf,2.11E+02,,,,,Netflix Prize,1.00E+08,,,,,,,,
,Recommendation,Movie ratings,Pragmatic Theory Inc.,Industry,"M Piotte, M Chabbert",08/2009,2009,The Pragmatic Theory solution to the Netflix Grand Prize,https://www.asc.ohio-state.edu/statistics/statgen/joul_aut2009/PragmaticTheory.pdf,1.11E+02,,,,,Netflix Prize,1.00E+08,,,,,,,,
,Language,,University of Colorado & New Mexico State University,Academia,"Thomas K Landauer, Peter W. Foltz & Darrell Laham",11/11/2009,2009,An Introduction to Latent Semantic Analysis,https://www.tandfonline.com/doi/abs/10.1080/01638539809545028,6.42E+03,Highly cited,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,University of Toronto,Academia,GE Hinton,2010,2010,A practical guide to training restricted boltzmann machines,http://www.csri.utoronto.ca/~hinton/absps/guideTR.pdf,3.34E+03,Highly cited,,,,,,,,,,,,,
,Vision,,"INRIA, Ecole, NYU",Academia,"YL Boureau, F Bach, Y LeCun",2010,2010,Learning mid-level features for recognition,http://ece.duke.edu/~lcarin/boureau-cvpr-10.pdf,1.31E+03,Highly cited,,,,,,,,,,,,,
,,,"University of Montreal, University of Toronto",Academia,"P Vincent, H Larochelle, I Lajoie, Y Bengio",2010,2010,Stacked denoising autoencoders: Learning useful representations in a deep network with a local denoising criterion,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.297.3484&rep=rep1&type=pdf,6.23E+03,Highly cited,,,,,,,,,,,,,
,Vision,,Xerox Research Centre Europe (XRCE),Industry,Florent PerronninJorge SánchezThomas Mensink,2010,2010,Improving the Fisher Kernel for Large-Scale Image Classification,https://link.springer.com/chapter/10.1007/978-3-642-15561-1_11,3.06E+03,Highly cited,,,,,,,,,,,,,
6-layer MLP (MNIST),Vision,Character recognition,IDSIA ; University of Lugano & SUPSI,Academia,"Dan Claudiu Ciresan, Ueli Meier, Luca Maria Gambardella, Juergen Schmidhuber",01/03/2010,2010,Deep Big Simple Neural Nets Excel on Handwritten Digit Recognition,https://arxiv.org/abs/1003.0358,1.26E+03,Highly cited,,1.21E+07,1.3E+14,MNIST,6.00E+04,,,,,,,,
Feedforward NN,Vision,Digit recognition,University of Montreal,Academia,"X Glorot, Y Bengio",13/05/2010,2010,Understanding the difficulty of training deep feedforward neural networks,https://web.archive.org/web/20211123180817/http://proceedings.mlr.press/v9/glorot10a/glorot10a.pdf,1.33E+04,Highly cited,,7.08E+06,3.5E+14,MNIST,,,1.40E+07,,,,,,
Word Representations,Language,,"University of Montreal, University of Illinois at Urbana- Champaigne",Academia,"Joseph Turian, Lev-Arie Ratinov, Yoshua Bengio",01/06/2010,2010,Word Representations: A Simple and General Method for Semi-Supervised Learning,https://www.aclweb.org/anthology/P10-1040/,2.51E+03,Highly cited,,,,,,,,,,,,,
Deconvolutional Network,Vision,,NYU,Academia,"Matthew D. Zeiler, Dilip Krishnan, Graham W. Taylor and Rob Fergus",13/06/2010,2010,Deconvolutional Networks,https://web.archive.org/web/20210819175548/https://www.matthewzeiler.com/mattzeiler/deconvolutionalnetworks.pdf,1.52E+03,Highly cited,,,,,,,,,,,,,
ReLU (NORB),Vision,Object recognition,University of Toronto,Academia,"Nair, V., Hinton, G. E.",15/06/2010,2010,Rectified linear units improve restricted boltzmann machines,https://dl.acm.org/doi/10.5555/3104322.3104425,1.40E+04,Highly cited,,1.62E+07,,,2.92E+05,,,,,,,,
ReLU (LFW),Vision,Face recognition,University of Toronto,Academia,"Nair, V., Hinton, G. E.",15/06/2010,2010,Rectified linear units improve restricted boltzmann machines,https://dl.acm.org/doi/10.5555/3104322.3104425,1.40E+04,Highly cited,,,,,,,,,,,,,
RNN 500/10 + RT09 LM (NIST RT05),Speech,Transcription,"Brno University of Technology, Johns Hopkins University",Academia,"T. Mikolov, M. Karafiat, L. Burget, J. Cernock ´ y, and S. Khudanpur",26/09/2010,2010,Recurrent neural network based language model.,https://www.fit.vutbr.cz/research/groups/speech/publi/2010/mikolov_interspeech2010_IS100722.pdf,5.67E+03,Highly cited,,5.27E+06,3.4E+15,NIST RT05,5.40E+06,,1.05E+07,,,,,,
KN5 LM + RNN 400/10 (WSJ),Speech,Transcription,"Brno University of Technology, Johns Hopkins University",Academia,"T. Mikolov, M. Karafiat, L. Burget, J. Cernock ´ y, and S. Khudanpur",26/09/2010,2010,Recurrent neural network based language model.,https://www.fit.vutbr.cz/research/groups/speech/publi/2010/mikolov_interspeech2010_IS100722.pdf,5.67E+03,Highly cited,,8.00E+07,6.1E+16,WSJ,6.40E+06,,1.60E+08,,,,,,
,Recommendation,,Google Inc,Industry,"J Davidson, B Liebald, J Liu, P Nandy",26/09/2010,2010,The YouTube Video Recommendation System,https://dl.acm.org/doi/10.1145/1864708.1864770,1.07E+03,Highly cited,,,,,,,,,,,,,
,,,"University of Michigan, Stanford University",,"A Coates, A Ng, H Lee",2011,2011,An analysis of single-layer networks in unsupervised feature learning,http://machinelearning.wustl.edu/mlpapers/paper_files/AISTATS2011_CoatesNL11.pdf,2.66E+03,Highly cited,,,,,,,,,,,,,
,,,University of Montreal,Academia,"X Glorot, A Bordes, Y Bengio",2011,2011,Deep sparse rectifier neural networks,http://machinelearning.wustl.edu/mlpapers/paper_files/AISTATS2011_GlorotBB11.pdf,7.22E+03,Highly cited,,,,,,,,,,,,,
,Language,,Harvard,Industry - Academia Collaboration,"JB Michel, YK Shen, AP Aiden, A Veres, MK Gray",2011,2011,Quantitative Analysis of Culture Using Millions of Digitized Books,https://science.sciencemag.org/content/331/6014/176,2.27E+03,Highly cited,,,,,,,,,,,,,
,Language,Part-of-speech tagging,"Carnegie Mellon University, Google Research",Industry - Academia Collaboration,"Dipanjan Das, Slav Petrov",2011,2011,Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections,https://www.aclweb.org/anthology/P11-1061/,3.16E+02,,,,,,,,,,,,,,
Domain Adaptation,Vision,Object Recognition,"University of Maryland, College Park",Academia,"Raghuraman Gopalan, Ruonan Li, Rama Chellappa",2011,2011,Domain Adaptation for Object Recognition: An Unsupervised Approach,http://ftp.idiap.ch/pub/courses/EE-700/material/05-12-2012/2011_ICCV_DomainAdaptation.pdf,1.06E+03,Highly cited,,1.53E+04,,Dataset introduced in 'Adapting Visual Category Models to New Domains',4.65E+03,,,,,,Supervised,,
,Language,,"Brno University of Technology, Johns Hopkins University",Academia,"T. Mikolov, S. Kombrink, L. Burget, J. Cernock ˇ y, and S. Khudanpur",2011,2011,Extensions of recurrent neural network language model,https://ieeexplore.ieee.org/document/5947611,1.24E+03,Highly cited,,,,,,,,,,,,,
,Language,,Stanford,Academia,"R. Socher, J. Pennington, E. H. Huang, A. Y. Ng, and C. D. Manning",2011,2011,Semi-supervised recursive autoencoders for predicting sentiment distributions,https://www.aclweb.org/anthology/D11-1014/,1.48E+03,Highly cited,,,,,,,,,,,,,
,,,"Univeristy of California Berkley, Technion- Israel Institute of Technology, Google",Industry - Academia Collaboration,"J Duchi, E Hazan, Y Singer",2011,2011,Adaptive Subgradient Methods for Online Learning and Stochastic Optimization,https://jmlr.org/papers/volume12/duchi11a/duchi11a.pdf,8.81E+03,Highly cited,,,,,,,,,,,,,
NLP from scratch,Language,,"NEC Laboratories, Princeton",Industry - Academia Collaboration,"Ronan Collobert, J. Weston, L. Bottou, Michael Karlen, K. Kavukcuoglu, P. Kuksa",2011,2011,Natural Language Processing (Almost) from Scratch,https://www.jmlr.org/papers/volume12/collobert11a/collobert11a.pdf,7.64E+03,Highly cited,,5.00E+06,,,8.52E+08,,,,,,,,
,Games,,Collège de France,Academia,"G Synnaeve, P Bessiere",2011,2011,A Bayesian Model for RTS Units Control applied to StarCraft,http://emotion.inrialpes.fr/people/synnaeve/index_files/BayesianUnit.pdf,8.60E+01,,,1.31E+04,,,,,,,,,,,
,,,University of Wisconsin Madison,Academia,"F Niu, B Recht, C Ré, SJ Wright",28/06/2011,2011,HOGWILD!: A Lock-Free Approach to Parallelizing Stochastic Gradient Descent,https://arxiv.org/abs/1106.5730,2.12E+03,Highly cited,,,,,,,,,,,,,
,Language,,Google,Industry,"Yuri Lin, Jean-Baptiste Michel, Erez Lieberman Aiden, Jon Orwant, Will Brockman and Slav Petrov",2012,2012,Syntactic Annotations for the Google Books NGram Corpus,https://aclanthology.org/P12-3029/,4.89E+02,,OpenAI,,,,,,,,,,,,
,,,"Karlsruhe Institute of Technology, Toyota Technological Institute at Chicago",Industry - Academia Collaboration,"A Geiger, P Lenz, R Urtasun",2012,2012,Are we ready for autonomous driving? The KITTI vision benchmark suite,http://www.cvlibs.net/publications/Geiger2012CVPR_slides.pdf,7.14E+03,Highly cited,,,,,,,,,,,,,
MV-RNN,Language,Text classification,Stanford,Academia,"R. Socher, B. Huval, C. D. Manning, and A. Y. Ng",2012,2012,Semantic compositionality through recursive matrix-vector spaces,https://www.aclweb.org/anthology/D12-1110/,1.46E+03,Highly cited,,3.51E+06,,,,,,,,,,,
MCDNN (MNIST),Vision,Character recognition,IDSIA,Academia,"D Ciregan, U Meier, J Schmidhuber",13/02/2012,2012,Multi-column Deep Neural Networks for Image Classification,https://arxiv.org/abs/1202.2745v1,4.83E+03,Highly cited,,1.99E+06,3.7E+15,MNIST,6.00E+04,3,2.59E+07,490,,0.021,,,
Dropout (MNIST),Vision,Character recognition,University of Toronto,Academia,"GE Hinton, N Srivastava, A Krizhevsky",03/06/2012,2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/abs/1207.0580,6.68E+03,Highly cited,,5.59E+06,6.0E+15,MNIST,6.00E+04,2,1.12E+07,,,0.021,,,
Dropout (TIMIT),Speech,Speech recognition,University of Toronto,Academia,"GE Hinton, N Srivastava, A Krizhevsky",03/06/2012,2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/abs/1207.0580,6.68E+03,Highly cited,OpenAI,4.88E+07,,,,4,,,,,,,
Dropout (CIFAR),Vision,Character recognition,University of Toronto,Academia,"GE Hinton, N Srivastava, A Krizhevsky",03/06/2012,2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/abs/1207.0580,6.68E+03,Highly cited,,,,,,,,,,,,,
Dropout (ImageNet),Vision,Image classification,University of Toronto,Academia,"GE Hinton, N Srivastava, A Krizhevsky",03/06/2012,2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/abs/1207.0580,6.68E+03,Highly cited,,,,,,7,,,,,,,
AlexNet,Vision,Image classification,University of Toronto,Academia,"Alex Krizhevsky, Ilya Sutskever, Geoffrey Hinton",30/09/2012,2012,ImageNet Classification with Deep Convolutional Neural Networks,https://proceedings.neurips.cc/paper/2012/hash/c399862d3b9d6b76c8436e924a68c45b-Abstract.html,8.51E+04,Highly cited,,6.00E+07,4.7E+17,ImageNet,1.20E+06,8,,,,,,,
,,,"University of Toronto, University of Sherbrooke, Harvard University",Academia,"J Snoek, H Larochelle, RP Adams",02/12/2012,2012,Practical Bayesian optimization of machine learning algorithms,https://dl.acm.org/doi/10.5555/2999325.2999464,5.67E+03,Highly cited,,,,,,,,,,,,,
,Vision,Object detection,"Univeristy of Trento, University of Amsterdam",Academia,"JRR Uijlings, KEA Van De Sande, T Gevers",2013,2013,Selective search for object recognition,http://www.huppelen.nl/publications/selectiveSearchDraft.pdf,5.59E+03,Highly cited,OpenAI,,,,,,,,,,,,
,Vision,,"University of Trento, University of Amsterdam",Academia,"JRR Uijlings, KEA Van De Sande, T Gevers",2013,2013,Selective search for object recognition,http://www.huppelen.nl/publications/selectiveSearchDraft.pdf,5.59E+03,Highly cited,,,,,,,,,,,,,
,,,Stanford,Academia,"R Socher, D Chen, CD Manning, A Ng",2013,2013,Reasoning With Neural Tensor Networks for Knowledge Base Completion,https://papers.nips.cc/paper/2013/file/b337e84de8752b27eda3a12363109e80-Paper.pdf,1.66E+03,Highly cited,PwC,,,,,,,,,,,,
DQN,Games,Atari,DeepMind,Industry,"V Mnih, K Kavukcuoglu, D Silver, A Graves",01/01/2013,2013,Playing Atari with Deep Reinforcement Learning,https://arxiv.org/pdf/1312.5602.pdf,6.68E+03,Highly cited,PwC,8.36E+05,2.3E+15,,,,,,,,,,
,Vision,,Stanford,Academia,"R Socher, M Ganjoo, H Sridhar, O Bastani",16/01/2013,2013,Zero-Shot Learning Through Cross-Modal Transfer,https://arxiv.org/abs/1301.3666,1.21E+03,Highly cited,,,,,,,,,,,,,
Maxout Networks ,Vision,Image classification,University of Montreal,Academia," Ian J. Goodfellow, David Warde-Farley, Mehdi Mirza, Aaron Courville, Yoshua Bengio",18/02/2013,2013,Maxout Networks ,http://proceedings.mlr.press/v28/goodfellow13,2.58E+03,Highly cited,,,,,,,,,,,,,
PreTrans-3L-250H,Speech,Speech recognition,Univeristy of Toronto,Academia,"Alex Graves, Abdel-rahman Mohamed, Geoffrey Hinton",22/03/2013,2013,Speech Recognition with Deep Recurrent Neural Networks,https://arxiv.org/abs/1303.5778,7.79E+03,Highly cited,,4.30E+07,,,,,,,,,,,
,Language,,Microsoft Research,Industry,"T Mikolov, W Yih, G Zweig",09/06/2013,2013,Linguistic Regularities in Continuous Space Word Representations,https://www.aclweb.org/anthology/N13-1090/,3.63E+03,Highly cited,,,,,,,,,,,,,
